company,company_type,title,link,sectors,work_place,career,education,salary,deadline
쿠팡로지스틱스서비스(유),대기업,[최대4340+참석비10]쿠팡CLS지게차(입출고 오퍼레이터)전국채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54229077,"배송기사, 화물차(카고), 전동지게차, 지게차, 물류관리",충북 청주시 서원구 외,경력무관 · 계약직,학력무관,면접 후 협의,D-2
해비치호텔앤드리조트(주),대기업,[해비치호텔앤드리조트] 전사 현장 서비스직 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54228176&adsCategoryItem=effect_bold&,"응급구조사, 응급실, 관광가이드, 관광통역안내사, 바리스타",제주 서귀포시 외,신입 · 경력 · 정규직 외,고졸↑,면접 후 협의,~07.12(일)
의료법의료법인 한국의료재단 종합검진센터(여의도IFC),일반기업,[한국의료재단] 예방의학사업부(영업팀) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54227720&adsCategoryItem=effect_bold&,"검진센터, 영업관리, 영업지원, 영업직, 영업마케팅",서울 영등포구 외,신입 · 경력 · 정규직,대학교(4년)↑,면접 후 협의,~07.02(목)
SK텔레콤(주),대기업,정산 및 통계 지원 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226984,"ERP, 전표입력, 정산관리, 요금정산, 구매관리",서울 중구,신입 · 계약직,학력무관,면접 후 협의,D-3
SK텔레콤(주),대기업,스마트홈 서비스 현장 지원 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226913,"SE(시스템엔지니어), 네트워크, 전표입력, 매출관리, CS관리",서울 중구,신입 · 계약직,학력무관,면접 후 협의,D-3
호남지방통계청,일반기업,2026년 청년인턴 채용 공고(통계-사회조사과),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226792,"사무직, 사무보조, 사무행정, 통계/분석, 홍보",광주 서구,경력무관 · 인턴직,학력무관,면접 후 협의,~06.29(월)
호남지방통계청,일반기업,2026년 청년인턴 채용 공고(통계-경제조사과),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226664,"사무직, 교육행정, 사무보조, 사무행정",광주 서구,경력무관 · 인턴직,학력무관,면접 후 협의,~06.29(월)
호남지방통계청,일반기업,2026년 청년인턴 채용 공고(통계-지역통계과),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226614,"빅데이터, 사무직, 사무보조, 사무행정, 통계/분석",광주 서구,경력무관 · 인턴직,학력무관,면접 후 협의,~06.29(월)
(주)넷게임즈,대기업,[LoreVault][Woochi the Wayfarer] 캐릭터 컨셉 아티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226548,"게임디자인, 캐릭터디자인, 컨셉디자인, 컨셉아트",서울 강남구,경력무관 · 정규직,학력무관,면접 후 협의,~06.30(화)
네이버클라우드(주),대기업,[NAVER Cloud] AX·Cloud 대외 프로젝트 거버넌스 (체험형 인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226539,"클라우드, AI(인공지능), AIX, 사업기획, 사업개발",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-4
양산부산대학교병원,일반기업,2026년도 블라인드 공개채용 계약직(원무직) 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226501,"사무직, 비품관리, 원무, 진료보조, 대학병원",경남 양산시,신입 · 계약직,학력무관,면접 후 협의,~07.03(금)
(재)광주창조경제혁신센터,일반기업,2026년 제8차 직원 공개채용 공고(2026년 초기창업패키지 운영),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226438,"예산관리, 사무직, 사무보조, 사무행정, 사업관리",광주 북구,경력무관 · 계약직,학력무관,면접 후 협의,~07.03(금)
(재)광주창조경제혁신센터,일반기업,2026년 제8차 직원 공개채용 공고(로컬창업기업 성장 컨설팅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226403,"사무직, 사무보조, 사무행정, 경영컨설팅, 사업관리",광주 북구,경력무관 · 계약직,학력무관,면접 후 협의,~07.03(금)
양산부산대학교병원,일반기업,2026년도 블라인드 공개채용 계약직(간호조무직) 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226396,"간호조무사, 대학병원, 일반병원, 종합병원",경남 양산시,신입 · 계약직,학력무관,면접 후 협의,~07.03(금)
(재)광주창조경제혁신센터,일반기업,2026년 제8차 직원 공개채용 공고(창업지원사업 운영 및 지원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54226350,"사무직, 사무행정, 사업관리, 기획",광주 북구,경력무관 · 정규직 외,학력무관,면접 후 협의,~07.03(금)
메리츠증권(주),대기업,리서치지원팀 채용 (신입 / 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225947,"서무, 기술기획, 리서치, 사업관리, 기획",서울 영등포구,신입 · 경력 · 계약직,고졸↑,면접 후 협의,~06.30(화)
양산부산대학교병원,일반기업,2026년도 블라인드 공개채용 계약직(행정직) 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225878,"병원총무, 병원행정사, 원무, 접수/예약, 대학병원",경남 양산시,신입 · 계약직,학력무관,면접 후 협의,~07.03(금)
(재)광주창조경제혁신센터,일반기업,2026년 제8차 직원 공개채용 공고(창업도시 프로젝트 운영/지원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225875,"자금관리, 사무직, 사무행정, 사업관리, 기획",광주 북구,경력무관 · 계약직,학력무관,면접 후 협의,~07.03(금)
양산부산대학교병원,일반기업,2026년도 블라인드 공개채용 계약직(전산직) 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225837,"정보보안, 정보통신, S/W, 정보처리, 대학병원",경남 양산시,신입 · 계약직,학력무관,면접 후 협의,~07.03(금)
양산부산대학교병원,일반기업,2026년도 블라인드 공개채용 계약직(수의사) 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54225785,"수의사, 수의테크니션, 대학병원, 동물병원, 일반병원",경남 양산시,신입 · 계약직,학력무관,면접 후 협의,~07.03(금)
